TeamMember13Name,TeamMember3Name,TeamMember8Link1,TeamMember6Link1,TeamMember6Link3,TeamMember14Link4,TeamMember10Link2,companyTagline,TeamMember4Link2,TeamMember4Link3,TeamMember9Link2,TeamMember7Link4,TeamMember10Name,TeamMember10Link3,TeamMember2Name,TeamMember10Link1,TeamMember12Link2,TeamMember1Link2,TeamMember3Link1,TeamMember6Link4,companyLink1,TeamMember13Link3,TeamMember9Link4,TeamMember12Link1,TeamMember10Link4,TeamMember3Link3,TeamMember9Link1,TeamMember1Link4,TeamMember11Link1,TeamMember7Name,TeamMember5Name,TeamMember8Link4,TeamMember11Link3,TeamMember14Name,TeamMember14Link1,TeamMember2Link1,TeamMember1Link3,TeamMember8Name,TeamMember11Link4,TeamMember3Link2,companyLink3,TeamMember4Link1,TeamMember12Name,TeamMember8Link2,TeamMember14Link2,TeamMember6Name,TeamMember9Name,TeamMember1Link1,TeamMember2Link2,TeamMember7Link1,TeamMember12Link4,TeamMember13Link4,companyLink2,TeamMember9Link3,TeamMember13Link2,TeamMember12Link3,TeamMember7Link2,TeamMember3Link4,TeamMember5Link1,TeamMember8Link3,companyName,TeamMember5Link2,TeamMember6Link2,TeamMember11Link2,TeamMember2Link3,TeamMember1Name,TeamMember7Link3,TeamMember13Link1,TeamMember11Name,TeamMember5Link4,TeamMember14Link3,TeamMember4Link4,TeamMember2Link4,TeamMember5Link3,TeamMember4Name
,Rory Hughes,,,,,,Build a Product-Driven Community,,,,,,,Sasha Iatsenia,,,,http://rory.ie/,,https://bind.ie/?ref=producthunt,,,,,,,,,,Victor Dulout,,,,,,,,,https://twitter.com/rorhug,,https://twitter.com/chrisjkra,,,,,,,,,,,,,,,,,https://www.linkedin.com/in/victor-dulout-350628106/,,Bind,,,,,Vasil Dzhakov,,,,,,,,,Chris Kraszewski
,,,,,,,practice typing with classic literature,,,,,,,,,,,,,https://apps.apple.com/us/app/classics-typing-works/id1660349579?ref=producthunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.producthunt.com/r/JX6VWS7C3AOZM7,,,,,,,,Classics+typing.works,,,,,B Kim,,,,,,,,,
,,,,,,,Combines JSON's simplicity with the power of linked data.,,,,,,,jakep36,,,,,,https://flur.ee/?ref=producthunt,,,,,,,,,,,,,,,https://twitter.com/jakep36,,,,,,,,,,,,https://twitter.com/bplatz,,,,,https://github.com/fluree/db,,,,,,,,JSON-LD Database by Fluree,,,,,Brian Platz,,,,,,,,,
,Rebecca Cederleuf,,,,,,AI generated websites with fully mobile friendly editor,,,,,,,Hannes Wideteg,,,,,,https://asekio.com/?ref=producthunt,,,,,,,,,,,,,,,https://asekio.com/,,,,,,,,,,,,,https://carlhannes.se/,,,,,,,,,,,,Asekio - AI website builder,,,,https://twitter.com/_carlhannes,Pontus Nyman,,,,,,,https://www.youtube.com/@carlhannes,,Edvard Falkskär
,Arbus,,,,,,Put screenshots in the past,,,,,,,Roberto Pérez,,,https://www.justbeepit.com/,https://twitter.com/cuuuriousbeing,,https://chrome.google.com/webstore/detail/beep-add-comments-anywher/ikaaobembkokejbemkilhcdadlchjagn?hl=en&authuser=0&ref=producthunt,,,,,,,,,,,,,,,https://www.justbeepit.com/,https://www.linkedin.com/in/farid-shukurov/,,,,,,,,,,,https://twitter.com/hustle_fred,https://www.linkedin.com/in/robertorockyperez/,,,,,,,,,,,,Beep,,,,,Farid Sukurov,,,,,,,,,
,,,,,,,Personal trainer AI that evolves with you,,,,,,,Keith Riel,,,,,,https://www.ardor.fitness/?ref=producthunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.producthunt.com/r/PVV6MLSSYPM7OK,,,,,,,,Ardor Fitness,,,,,Jordan Lund,,,,,,,,,
,Jennifer Wei,,,,,,Bringing human-level nuance to AI candidate screening,,,,,,,Paul Godfrey,,,,http://linkedin.com/in/jenwei,,https://www.getcovey.com/?ref=producthunt,,,,,,,,,,Vijay Mani,,,,,http://instagram.com/paulgodfrey,,,,https://twitter.com/jenlwei,,,,,,Tejas Tanna,,,https://twitter.com/paulgodfrey,,,,,,,,,,https://twitter.com/vjmani,,Covey Scout Inbound,https://www.getcovey.com/,,,,Ronald Fung,,,,,,,,,Herbert
,,,,,,,Telegram & Email notifications for crypto & NFT transactions,,,,,,,Vlad Larin,,,https://zeroqode.com/,,,https://metla.com/?ref=producthunt,,,,,,,,,,,,,,,https://twitter.com/vladvlarin,,,,,,,,,,,,https://twitter.com/levon377,https://zeroqode.com/,,,,,,,,,,,,Crypto Notifications for Metamask,,,,,Levon - Founder @ Zeroqode,,,,,,,,,
,Gaurav Arora,,,,,,compare prices instantly when you shop online,,,,,,,Karen Eppel,,,,https://twitter.com/gaurav_arora_,,https://www.zyft.com/?ref=producthunt,,,,,,,,,,,,,,,,,,,http://zyft.com/,,,,,,,,,,,,,,,,,,,,,Zyft,,,,,Dilip Jacob,,,,,,,,,
,,,,,,,AI-enhanced Tailwind CSS visual editor and builder,,,,,,,,,,https://www.devwares.com/,,,https://www.devwares.com/windframe?ref=producthunt,,,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/sampsonslayer,,,,,,,,,,,,,Windframe 2.0,,,,,Sampson Ovuoba,,,,,,,,,
,,,,,,,The only way to surf X ad-free,,,,,,,,,,,,,https://joewebber.gumroad.com/l/ofagu?ref=producthunt,,,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/joewebber_,,,,,,,,,,,,,AdSweep,,,,,Joe Webber,,,,,,,,,
,,,,,,,Create high-converting landing pages in seconds,,,,,,,,,,,,,https://landerlab.io/?ref=producthunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Landerlab.io,,,,,Losid Berberi,,,,,,,,,
,,,,,,,Manage your freelance business on WhatsApp,,,,,,,,,,,,,https://www.usedario.com/?ref=producthunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dario,,,,,Samuel Rueesch,,,,,,,,,
,,,,,,,turn stock earnings calls into tweet summaries with AI,,,,,,,,,,,,,https://www.earningsdigest.ai/?ref=producthunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EarningsDigest,,,,,Mark Zhong,,,,,,,,,
,,,,,,,"Manage Rotations, Oncalls, Incidents & Ops over Slack.",,,,,,,,,,https://www.watchedviews.com/,,,https://pagerly.io/?ref=producthunt,,,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/falit94,,,,,,,,,,,,,Pagerly,,,,,Falit Jain,,,,,,,,,
,Franz Stupar,,,,,,Connect your team and increase employee engagement,,,,,,,Giacomo,,,,https://twitter.com/franzstupar,,https://www.simpleworkapps.com/slack-coffee-chat-app?ref=producthunt,,,,,,,,,,,,,,,https://twitter.com/giacomovenier,,,,,,,,,,,,,https://www.simpleworkapps.com/slack-coffee-chat-app/,,,,https://github.com/VenierGiacomo,,,,,,,,Coffee Chat App for Slack,,,,,Pietro Tansini,,,,,,,,,
,,,,,,,Connecting hiring teams with efficiency,,,,,,,Alexbick,,,https://www.linkedin.com/company/clousapp/,,,https://clous.app/?ref=producthunt,,,,,,,,,,,,,,,,https://www.linkedin.com/in/alvarovillalbaperez/,,,,,,,,,,,https://clous.app/,,,,,,,,,,,,,ClousH Demo,,,,,Alvaro Villalba Perez,,,,,,,,,
,,,,,,,This is your Replay.,,,,,,,Brett Markowitz,,,,,,https://apple.com/?ref=producthunt,,,,,,,,,,,,,,,https://bmarkowitz.github.io/,,,,,https://www.producthunt.com/r/CVKPDRPKKLN3MW,,,,,,,,,,,,https://www.producthunt.com/r/390495a608b0c5,,,,,,,,Apple Music Replay 2023,,,,,Alex Tin,,,,,,,,,
,,,,,,,Elevate short-form videos to engaging stories with AI,,,,,,,Victor Ruiz de la Hermosa,,,,,,https://www.clipglow.co/?ref=producthunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClipGlow,,,,,Pablo Ruiz,,,,,,,,,
,,,,,,,Relive all the music you discovered and loved in 2023,,,,,,,Charlie Hellman,,,http://www.spotify.com/,,,https://www.spotify.com/?ref=producthunt,,,,,,,,,,,,,,,http://spoti.fi/charlieh,,,,,https://www.producthunt.com/r/24YWRZPA7HAKH5,,,,,,,https://twitter.com/eldsjal,https://twitter.com/hellmania,,,,https://www.producthunt.com/r/OLW6XUWJKVWUFC,,,,,,,,Spotify Wrapped 2023,,,,,Daniel Ek,,,,,,,,,
,,,,,,,Manage your sports betting for your community,,,,,,,,,,,,,https://mybetpage.com/?ref=producthunt,,,,,,,,,,,,,,,,,,,,,,,,,,,https://x.com/lenaourthomas,,,,,,,,,,,,,MyBetPage,,,,,Thomas Le Naour,,,,,,,,,
